"P.R."	"Puerto Rico"	45488	https://case.law/api/v1/cases/?jurisdictions=pr	https://case.law/api/v1/jurisdictions/25
"Regional"	"Regional"	0	https://case.law/api/v1/cases/?jurisdictions=regional	https://case.law/api/v1/jurisdictions/9
"R.I."	"Rhode Island"	26400	https://case.law/api/v1/cases/?jurisdictions=ri	https://case.law/api/v1/jurisdictions/15
"S.C."	"South Carolina"	41336	https://case.law/api/v1/cases/?jurisdictions=sc	https://case.law/api/v1/jurisdictions/59
"S.D."	"South Dakota"	16339	https://case.law/api/v1/cases/?jurisdictions=sd	https://case.law/api/v1/jurisdictions/54
"Tenn."	"Tennessee"	38328	https://case.law/api/v1/cases/?jurisdictions=tenn	https://case.law/api/v1/jurisdictions/11
"Tex."	"Texas"	247898	https://case.law/api/v1/cases/?jurisdictions=tex	https://case.law/api/v1/jurisdictions/32
"U.S."	"United States"	1701925	https://case.law/api/v1/cases/?jurisdictions=us	https://case.law/api/v1/jurisdictions/39
"Utah"	"Utah"	21755	https://case.law/api/v1/cases/?jurisdictions=utah	https://case.law/api/v1/jurisdictions/12
"Va."	"Virginia"	44565	https://case.law/api/v1/cases/?jurisdictions=va	https://case.law/api/v1/jurisdictions/7
"V.I."	"Virgin Islands"	3418	https://case.law/api/v1/cases/?jurisdictions=vi	https://case.law/api/v1/jurisdictions/44
"Vt."	"Vermont"	21578	https://case.law/api/v1/cases/?jurisdictions=vt	https://case.law/api/v1/jurisdictions/17
"Wash."	"Washington"	101288	https://case.law/api/v1/cases/?jurisdictions=wash	https://case.law/api/v1/jurisdictions/38
"Wis."	"Wisconsin"	47209	https://case.law/api/v1/cases/?jurisdictions=wis	https://case.law/api/v1/jurisdictions/46
"W. Va."	"West Virginia"	27521	https://case.law/api/v1/cases/?jurisdictions=w-va	https://case.law/api/v1/jurisdictions/35
"Wyo."	"Wyoming"	10546	https://case.law/api/v1/cases/?jurisdictions=wyo	https://case.law/api/v1/jurisdictions/33
