"Bucks Co. L.R."	"Bucks County Law Reporter"	43	https://api.case.law/v1/cases/?reporter=800	https://api.case.law/v1/reporters/800
"Bur."	"Burnett"	38	https://api.case.law/v1/cases/?reporter=1070	https://api.case.law/v1/reporters/1070
"Bur."	"Burnett"	7	https://api.case.law/v1/cases/?reporter=656	https://api.case.law/v1/reporters/656
"Butler Co. Legal J."	"Butler County Legal Journal"	0	https://api.case.law/v1/cases/?reporter=801	https://api.case.law/v1/reporters/801
"E.D. Pa."	"Cadwalader's cases, being decisions of the Hon. John Cadwalader"	60	https://api.case.law/v1/cases/?reporter=788	https://api.case.law/v1/reporters/788
"Cai. Cas."	"Caines' Cases"	43	https://api.case.law/v1/cases/?reporter=124	https://api.case.law/v1/reporters/124
"Cai."	"Caines' Reports"	885	https://api.case.law/v1/cases/?reporter=123	https://api.case.law/v1/reporters/123
"Cal. App."	"California Appellate Reports"	19803	https://api.case.law/v1/cases/?reporter=327	https://api.case.law/v1/reporters/327
"Cal. App. 5th"	"California Appellate Reports, Fifth Series"	74	https://api.case.law/v1/cases/?reporter=1078	https://api.case.law/v1/reporters/1078
"Cal. App. 4th"	"California Appellate Reports, Fourth Series"	21014	https://api.case.law/v1/cases/?reporter=334	https://api.case.law/v1/reporters/334
"Cal. App. 2d"	"California Appellate Reports, Second Series"	35799	https://api.case.law/v1/cases/?reporter=329	https://api.case.law/v1/reporters/329
"Cal. App. 3d"	"California Appellate Reports, Third Series"	21760	https://api.case.law/v1/cases/?reporter=332	https://api.case.law/v1/reporters/332
"Cal. 3d"	"California Reports"	3042	https://api.case.law/v1/cases/?reporter=418	https://api.case.law/v1/reporters/418
"Cal. 4th"	"California Reports"	2459	https://api.case.law/v1/cases/?reporter=419	https://api.case.law/v1/reporters/419
"Cal."	"California Reports"	27634	https://api.case.law/v1/cases/?reporter=414	https://api.case.law/v1/reporters/414
"Cal. 2d"	"California Reports"	6476	https://api.case.law/v1/cases/?reporter=417	https://api.case.law/v1/reporters/417
